ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER_PERFEZIONAMENTO
2008-2009;01202;Varese - Università dell' Insubria;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;10;0;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2008-2009;01202;Varese - Università dell' Insubria;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);37;15;2;0;0
2008-2009;01202;Varese - Università dell' Insubria;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;15;0;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;18;0;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;89;15;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;6;0;0;0;2
2008-2009;01202;Varese - Università dell' Insubria;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;46;0;0
2008-2009;01202;Varese - Università dell' Insubria;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;48;0;0
2008-2009;01202;Varese - Università dell' Insubria;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;6;0;0
2008-2009;01202;Varese - Università dell' Insubria;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;3;0;67
2008-2009;01202;Varese - Università dell' Insubria;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;6;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2008-2009;01301;"Novedrate (CO) - Università telematica ""e-Campus""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2008-2009;01501;Milano - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;83;2;404;0;0
2008-2009;01501;Milano - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);580;0;225;2;0
2008-2009;01501;Milano - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;7;0;0;0;0
2008-2009;01501;Milano - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;21;0;0;0;0
2008-2009;01501;Milano - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;207;;
2008-2009;01501;Milano - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);294;0;0;0;0
2008-2009;01501;Milano - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;3;0;0;0;0
2008-2009;01501;Milano - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;50;0;0;0;0
2008-2009;01501;Milano - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;210;0;0;0;0
2008-2009;01501;Milano - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;764;81;0;0;0
2008-2009;01501;Milano - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2008-2009;01501;Milano - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2008-2009;01501;Milano - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2008-2009;01501;Milano - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2008-2009;01501;Milano - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2008-2009;01501;Milano - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2008-2009;01501;Milano - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;417;0;0
2008-2009;01501;Milano - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2008-2009;01501;Milano - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;426;73;0
2008-2009;01501;Milano - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;28;0;0
2008-2009;01501;Milano - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;2;0;0
2008-2009;01501;Milano - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;27;8;0
2008-2009;01501;Milano - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;49;0;0
2008-2009;01502;Milano - Politecnico;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;123;54;0;0;0
2008-2009;01502;Milano - Politecnico;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);778;10;134;0;88
2008-2009;01502;Milano - Politecnico;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;3;0;88
2008-2009;01502;Milano - Politecnico;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;138;8;48;0;0
2008-2009;01502;Milano - Politecnico;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;131;;
2008-2009;01502;Milano - Politecnico;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);991;327;0;0;0
2008-2009;01502;Milano - Politecnico;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;324;317;0;0;0
2008-2009;01502;Milano - Politecnico;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;156;0;0;0;0
2008-2009;01502;Milano - Politecnico;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;158;0;0;0;0
2008-2009;01502;Milano - Politecnico;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;751;87;0;0;0
2008-2009;01502;Milano - Politecnico;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;1387;507;52;0;25
2008-2009;01502;Milano - Politecnico;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;954;491;48;0;13
2008-2009;01502;Milano - Politecnico;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2008-2009;01502;Milano - Politecnico;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2008-2009;01502;Milano - Politecnico;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;119;6;0;0;0
2008-2009;01502;Milano - Politecnico;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2008-2009;01502;Milano - Politecnico;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;492;0;0
2008-2009;01502;Milano - Politecnico;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;25
2008-2009;01502;Milano - Politecnico;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;27;0;60
2008-2009;01502;Milano - Politecnico;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;5;0;0
2008-2009;01502;Milano - Politecnico;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2008-2009;01502;Milano - Politecnico;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;5;0;0
2008-2009;01502;Milano - Politecnico;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;61;0;0
2008-2009;01503;"Milano - Università commerciale ""Luigi Bocconi""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;105;20;0;0;0
2008-2009;01503;"Milano - Università commerciale ""Luigi Bocconi""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);2365;77;0;0;0
2008-2009;01503;"Milano - Università commerciale ""Luigi Bocconi""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;2112;64;0;0;0
2008-2009;01503;"Milano - Università commerciale ""Luigi Bocconi""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;1555;64;0;0;0
2008-2009;01503;"Milano - Università commerciale ""Luigi Bocconi""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
